見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「ハンドクラフト おひなさま飾り(壁掛け)」,イベント,2月12日13:00～15:00,,小学生以上（小学生は保護者同伴）,20人（先着順）,"1,500円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,万葉館コンサート,イベント,2月18日14:00～15:00,,小学生以上（小学生は保護者同伴）,50人（先着順）,500円(ペア800円),,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室「古典学習セミナー『源氏物語』を楽しむ～玉鬘(全3回)」　,イベント,(1)2月19日(2)26日(3)3月5日14:00～15:30,,小学生以上（小学生は保護者同伴）,20人（先着順）,各300円,事前申込,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,,ボランティアによる「おはなし会」,イベント,2月11・18・25日、3月4日14：00～,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,,ライナー・ホーネック村田千佳コンサート（ウィーン・フィルハーモニー管弦楽団コンサートマスターと東京藝大講師によるコラボレーションコンサート）,イベント,2月12日18:30～20:30,,,250人（先着順）,"前売3,000円 当日4,000円（全席自由）　県民文化会館、和歌山市民会館、LURU MUSICで販売",文化情報センター 　電話073-436-9530,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,,季節のおはなし会 あかちゃんといっしょに楽しもう～ふゆ～,イベント,2月15日(1)10:30～(2)11:00～,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,,ントランスコンサート ,イベント,3月3日12:00～12:30,,,80人程度（先着順）,,,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,イベント,2月1・12・26日、3月2・12・26日11:00～,,,,,,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会in 新宮,イベント,2月22日11:00～,新宮保健所,,,"※譲渡を受けるには受講と、犬については狂犬病予防注射代2,640円が必要です。",※申込不要(手話通訳・要約筆記希望者は要予約),入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,高齢動物のケアに関する特別セミナー,イベント,3月5日13:30～14:30,,,80人（先着順）,,2月19日～3月5日,入場無料
